"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","/Users/weberalmeidanobre/Desktop/TopiRun teste final/src/classes/AccountFixtureFactory.cls","3","8","Avoid long parameter lists.","Design","ExcessiveParameterList"
"2","","/Users/weberalmeidanobre/Desktop/TopiRun teste final/src/classes/AccountFixtureFactory.cls","3","19","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","","/Users/weberalmeidanobre/Desktop/TopiRun teste final/src/classes/AccountTHTest.cls","5","50","Variable 'repository' defined but not used","Best Practices","UnusedLocalVariable"
"1","","/Users/weberalmeidanobre/Desktop/TopiRun teste final/src/classes/TriggerHandler.cls","1","4","The class 'TriggerHandler' has a total cyclomatic complexity of 65 (highest 38).","Design","CyclomaticComplexity"
"2","","/Users/weberalmeidanobre/Desktop/TopiRun teste final/src/classes/TriggerHandler.cls","1","111","The method 'setTriggerContext(String,Boolean)' has a cognitive complexity of 24.","Design","CognitiveComplexity"
"3","","/Users/weberalmeidanobre/Desktop/TopiRun teste final/src/classes/TriggerHandler.cls","1","111","The method 'setTriggerContext(String,Boolean)' has a cyclomatic complexity of 38.","Design","CyclomaticComplexity"
"4","","/Users/weberalmeidanobre/Desktop/TopiRun teste final/src/classes/TriggerHandler.cls","3","176","Avoid empty block statements.","TopiRules","EmptyStatementBlock"
"5","","/Users/weberalmeidanobre/Desktop/TopiRun teste final/src/classes/TriggerHandler.cls","3","178","Avoid empty block statements.","TopiRules","EmptyStatementBlock"
"6","","/Users/weberalmeidanobre/Desktop/TopiRun teste final/src/classes/TriggerHandler.cls","3","180","Avoid empty block statements.","TopiRules","EmptyStatementBlock"
"7","","/Users/weberalmeidanobre/Desktop/TopiRun teste final/src/classes/TriggerHandler.cls","3","182","Avoid empty block statements.","TopiRules","EmptyStatementBlock"
"8","","/Users/weberalmeidanobre/Desktop/TopiRun teste final/src/classes/TriggerHandler.cls","3","184","Avoid empty block statements.","TopiRules","EmptyStatementBlock"
"9","","/Users/weberalmeidanobre/Desktop/TopiRun teste final/src/classes/TriggerHandler.cls","3","186","Avoid empty block statements.","TopiRules","EmptyStatementBlock"
"10","","/Users/weberalmeidanobre/Desktop/TopiRun teste final/src/classes/TriggerHandler.cls","3","188","Avoid empty block statements.","TopiRules","EmptyStatementBlock"
"1","","/Users/weberalmeidanobre/Desktop/TopiRun teste final/src/classes/TriggerHandlerTest.cls","2","198","Apex unit tests should System.assert() or assertEquals() or assertNotEquals()","Best Practices","ApexUnitTestClassShouldHaveAsserts"
